xaxis	EDF	TSRA	G-VMPAC
80	20.4132748904	20.4132748904	20.4132748904
90	26.4929424539	26.4929424539	26.4929424539
100	25.7339449541	25.7339449541	24.6275605214
110	33.701188455	33.701188455	33.162173727
120	32.5817361894	32.1683577602	32.130777903
130	25.9813705921	25.9148369927	25.5156353959
140	36.9694960212	35.6763925729	34.8899266177
