xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	18.4611194702	18.4611194702	18.4611194702	18.4699836116	18.6038335823	18.6038335823	18.6038335823	18.6038335823	18.6038335823	18.6038335823	18.6038335823	18.6038335823
85	13.3629462309	13.3607880576	13.3607880576	13.7560059177	14.0260126628	13.8888384515	13.8888384515	13.8888384515	13.8888384515	13.8888384515	13.8888384515	13.8888384515
90	10.1084735387	10.0440731104	9.97591450725	10.6392962888	10.757413995	10.7551831692	10.7551831692	10.7551831692	10.7551831692	10.7551831692	10.7551831692	10.7551831692
95	4.83028554434	4.3765019603	4.3755363091	6.04127018933	7.6576498804	7.87209510011	7.87209510011	7.87209510011	7.87209510011	7.87209510011	7.87209510011	7.87209510011
100	4.0272990477	3.74367323475	3.93024243441	4.27149749762	6.70427292159	6.59961370477	6.60355361368	6.60355361368	6.60355361368	6.60355361368	6.60355361368	6.60355361368
105	0.452461938575	0.13020442845	0.0643608070509	0.653295185151	5.50997302149	6.3820521228	6.5234409922	6.5234409922	6.5234409922	6.5234409922	6.5234409922	6.5234409922
110	0.255076351689	0.199639475054	0.199639475054	0.351353909796	4.05307308705	5.46619693071	5.59296014113	5.59296014113	5.59296014113	5.59296014113	5.59296014113	5.59296014113
115	0.15831997844	0.0158277936056	0.0158277936056	0.329026690967	3.59271253422	5.24999814665	5.37048025747	5.37048025747	5.37048025747	5.37048025747	5.37048025747	5.37048025747
120	0.0154320987654	0.0154320987654	0.0154320987654	0.0154320987654	1.12937298392	4.63604506334	5.43070801778	5.57988798771	5.57988798771	5.57988798771	5.57988798771	5.57988798771
125	0.0470876859766	0.0470876859766	0.0470876859766	0.108816081038	1.24262497955	3.77500635073	4.99742891388	4.99742891388	4.99742891388	4.99742891388	4.99742891388	4.99742891388
130	0.0	0.0	0.0	0.0	0.497434665416	2.99732782693	3.30249233652	3.51694478263	3.51694478263	3.51694478263	3.51694478263	3.51694478263
135	0.0771604938272	0.0771604938272	0.0771604938272	0.0771604938272	0.224743974744	3.06065936429	3.60103938135	3.78174606446	3.78174606446	3.78174606446	3.78174606446	3.78174606446
140	0.0	0.0	0.0	0.0	0.28809382888	1.5112937828	2.75899791607	3.50289770176	3.56708966301	3.74966160898	3.74966160898	3.74966160898
