xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225	60.031126225
85	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799	57.0659834799
90	54.1616888798	54.1616888798	54.1616888798	54.1602395485	54.1763282724	54.1763282724	54.1763282724	54.1763282724	54.1763282724	54.1763282724	54.1763282724	54.1763282724
95	51.7833576986	51.733020834	51.731662509	51.7280000775	52.2103188949	52.1526257446	52.1526257446	52.1526257446	52.1526257446	52.1526257446	52.1526257446	52.1526257446
100	51.0103960929	50.993791787	50.9956252169	51.0005856312	51.5118301564	51.5886986986	51.6016103673	51.6016103673	51.6016103673	51.6016103673	51.6016103673	51.6016103673
105	50.3274297024	50.3412130193	50.3412130193	50.3345225125	51.1950910579	51.3505702157	51.3442924962	51.3442924962	51.3442924962	51.3442924962	51.3442924962	51.3442924962
110	50.0670486486	50.0970682452	50.0958555159	50.0861678653	50.9323609013	51.2364383045	51.2493179978	51.2493179978	51.2493179978	51.2493179978	51.2493179978	51.2493179978
115	50.0048319683	50.0060542	50.007262192	50.0096639366	50.7028161843	51.4153468409	51.3618762021	51.3618762021	51.3618762021	51.3618762021	51.3618762021	51.3618762021
120	50.0096639366	50.0060446976	50.0060446976	50.0060446976	50.5403270312	51.4355482245	51.4587870321	51.4587870321	51.4587870321	51.4587870321	51.4587870321	51.4587870321
125	50.0	50.0036239762	50.0048319683	50.0048319683	50.2275651342	51.2510170565	51.546708744	51.5209302055	51.5209302055	51.5209302055	51.5209302055	51.5209302055
130	50.0	50.0012079921	50.0060399604	50.0048319683	50.1714544146	51.0890078694	51.4140919917	51.4247297284	51.4247297284	51.4247297284	51.4247297284	51.4247297284
135	50.0	50.0012079921	50.0012079921	50.0012079921	50.1214523089	51.0272140648	51.5937722064	51.5467527878	51.5467527878	51.5467527878	51.5467527878	51.5467527878
140	50.0	50.0024159842	50.0072479525	50.0072479525	50.0620050228	50.7750785803	51.5378578882	51.4995373172	51.5391993627	51.5391993627	51.5391993627	51.5391993627
