xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	0.0	0.0	0.0	0.0	0.0	0.0
90	0.659050966608	0.759477780567	0.922903063787	1.29959819186	1.29959819186	1.29959819186
100	3.74821513565	3.48643503094	3.70216058568	4.39854770549	4.23189095887	4.23189095887
110	9.22476120112	8.86416367855	8.892998679	10.5240912933	10.7041064077	10.7041064077
120	15.9043202343	15.650475958	15.2385137444	16.4202410579	16.825257405	16.825257405
130	21.9581918885	21.1923780624	21.2474328065	20.4035072023	22.2699029994	22.2699029994
140	26.8570471485	26.096059629	26.3043296206	24.7345983449	25.8044269635	25.7513604018
