xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	65.7285803627	65.7285803627	65.7285803627	65.7285803627	65.7285803627	65.7285803627
90	68.1793027117	68.1793027117	68.1793027117	68.1793027117	68.1793027117	68.1793027117
100	64.0701071081	64.0701071081	64.0701071081	64.0701071081	63.5832521908	63.5832521908
110	63.2722624627	63.2722624627	63.2722624627	63.911376225	63.911376225	63.911376225
120	60.7959022853	60.7959022853	61.268715524	60.3624901497	60.7959022853	60.7959022853
130	68.9806975957	69.3532001355	69.3532001355	68.1341009143	66.3731798171	65.8990856756
140	62.5120772947	62.5442834138	62.962962963	63.1561996779	62.4154589372	62.4154589372
