xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	64.4874672652	64.4874672652	64.4874672652	64.4051627385	64.4051627385	64.4051627385
90	56.8643222347	56.8643222347	56.8643222347	56.8643222347	56.8643222347	56.8643222347
100	54.885895997	54.885895997	54.885895997	54.9233071455	55.3516647961	55.3516647961
110	50.1334330964	50.1334330964	50.1334330964	49.7562040155	49.6065594214	49.6065594214
120	46.8000106889	46.8000106889	46.3510769066	47.2676500454	46.6933889156	46.6933889156
130	29.6133290578	29.4276094276	29.2267471897	31.0218587996	33.1263249782	33.4966953485
140	33.9415762564	33.9415762564	33.5300536226	33.4795485721	34.3085172715	34.3085172715
