xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0595687224495	0.36138358286	0.36138358286	0.36138358286
100	2.50856408792	2.09276623053	2.76142566627	5.01017021732	5.01017021732	5.01017021732
110	11.6132135985	10.4063111311	11.2650756993	11.5452305526	11.3948353653	11.3948353653
120	17.6162390348	16.8482164233	16.8871199425	16.3979539948	16.8167269899	16.8167269899
130	24.923618948	24.0525142432	24.3349672303	21.0120468703	21.4495458163	21.4495458163
140	29.2626307415	28.6202310481	28.6697965571	23.7659059564	25.2150411892	25.2150411892
