xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	51.9793444014	51.9793444014	51.8661444064	51.201864513	51.201864513	51.201864513
90	46.7578217333	46.9657720003	47.1852951518	47.1852951518	47.1852951518	47.1852951518
100	41.9261235128	41.9775638421	43.425872597	44.7423392111	44.7423392111	44.7423392111
110	39.3786460609	39.3719375509	41.2553081122	43.0240260123	43.6629030938	43.6629030938
120	39.2947295853	39.040489511	39.9715835848	42.4653586509	41.9928427482	41.9928427482
130	36.4255341947	37.1701077013	37.1702735049	40.5829899675	40.1351316978	40.1351316978
140	35.0449033053	34.9771391102	35.1833550849	37.6128706031	38.6892396486	38.7753387683
