xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	1.83034835662	1.83034835662	1.55481204487	0.629797283999	0.629797283999	0.629797283999
90	1.53846153846	1.83908045977	1.96286472149	1.96286472149	1.96286472149	1.96286472149
100	5.31098229673	5.3736487545	6.92464358452	8.33463888454	8.33463888454	8.33463888454
110	10.1781895937	9.93585174626	11.5609408411	13.0434782609	13.7704918033	13.7704918033
120	18.8235294118	18.483957561	17.9795396419	19.6314307653	18.9836149514	18.9836149514
130	20.4146542585	21.2039109436	20.9258384506	22.9853911404	22.6319509896	22.6319509896
140	27.4443978179	26.2484263533	25.870751154	25.803065295	27.1992441738	27.2097417594
