xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	100.0	99.8937752284	99.8937752284	99.8937752284
100	93.4442080835	93.3475149874	94.3907156673	97.1912273952	97.1912273952	97.1912273952
110	76.6706959074	76.4634778104	77.9005524862	92.4291845494	92.4120171674	92.4120171674
120	67.1627460394	67.498799808	68.7790046407	88.7476160203	88.6681500318	88.6681500318
130	61.2730517549	61.7135207497	62.5966686496	84.7732978881	85.5370069434	85.5370069434
140	58.1748529211	58.3527158298	59.220246238	79.1309085956	82.6967513932	82.6967513932
