xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.260416666667	0.866551126516	0.866551126516	0.866551126516
100	3.24324324324	2.85714285714	3.0162412993	3.62374710871	3.5466461064	3.5466461064
110	12.0289855072	12.8260869565	10.2973168963	7.62589928058	7.62589928058	7.62589928058
120	27.1045918367	26.5137029955	25.5264837269	11.5117014548	11.4826498423	11.4826498423
130	33.1947743468	31.8100890208	31.7695961995	14.6298472385	14.7127784291	14.5955451348
140	38.0691168404	38.1369863014	34.923245614	17.0479302832	17.5352877307	17.2638436482
