xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	50.1009663789	50.1009663789	50.1009663789	50.1866616025	50.1865986066	50.1865986066	50.1865986066	50.1865986066	50.1865986066	50.1865986066	50.1865986066	50.1865986066
85	46.8820062492	46.8823148526	46.8823148526	46.9574836035	47.2081797268	47.1258752	47.1258752	47.1258752	47.1258752	47.1258752	47.1258752	47.1258752
90	44.8322843763	44.7494879035	44.7089901108	45.2752634072	45.1925570693	45.1081421701	45.1081421701	45.1081421701	45.1081421701	45.1081421701	45.1081421701	45.1081421701
95	42.101843074	41.5838811798	41.5838811798	42.1414262702	43.7324355069	43.7358043132	43.7358043132	43.7358043132	43.7358043132	43.7358043132	43.7358043132	43.7358043132
100	41.0730951502	41.0949513439	41.1698934362	41.2996697658	42.8785498057	42.8898994968	42.8919634495	42.8919634495	42.8919634495	42.8919634495	42.8919634495	42.8919634495
105	38.9313429558	38.6521472109	38.6444356805	39.2380759254	42.154058898	42.6568886383	42.4058052848	42.4058052848	42.4058052848	42.4058052848	42.4058052848	42.4058052848
110	38.7482481029	38.6189510599	38.5706628972	38.7327317372	41.9334977228	42.8230251285	42.9789946038	42.9789946038	42.9789946038	42.9789946038	42.9789946038	42.9789946038
115	38.4503332968	38.419189388	38.4416439846	38.5561554152	40.8043289323	43.0022301013	43.0001197288	43.0001197288	43.0001197288	43.0001197288	43.0001197288	43.0001197288
120	38.3386684401	38.3153122784	38.322092402	38.3069216632	40.4582928428	42.733789552	42.400802418	42.6419262248	42.6419262248	42.6419262248	42.6419262248	42.6419262248
125	38.1119726507	38.1024662468	38.1024662468	38.1977369326	39.9380360271	41.8699267041	42.1754594731	42.335953277	42.335953277	42.335953277	42.335953277	42.335953277
130	37.9957346425	38.0234709188	38.0275259539	38.0007429726	38.7655917558	40.8532540039	42.026646582	41.8690273111	41.8690273111	41.8690273111	41.8690273111	41.8690273111
135	38.0460604379	37.9923079322	37.9551449154	37.9740997354	39.0900740565	40.660488374	41.1217302926	41.0681841814	41.2224903059	41.2224903059	41.2224903059	41.2224903059
140	38.1600375251	38.121675441	38.1254201263	38.0928770731	39.1576147782	40.606251468	41.8457947856	41.836337365	41.836337365	41.836337365	41.836337365	41.836337365
