xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	19.1846814495	19.1846814495	19.1846814495	19.1846814495	19.1846814495	19.1846814495
90	7.44062318985	7.44812764235	7.54969449704	7.95680313061	7.95680313061	7.95680313061
100	0.0486882716049	0.0289351851852	0.333938555677	3.52940079229	3.52940079229	3.52940079229
110	0.0	0.0	0.0	2.91155639216	2.68822342838	2.68822342838
120	0.0	0.0	0.0	3.28730909392	3.97073333738	3.97073333738
130	0.0	0.0	0.0	1.516707734	2.15707467289	2.15707467289
140	0.0	0.0	0.0	0.735906656997	2.88835328493	2.88835328493
