xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.371839365394	1.23629770049	1.23629770049	1.23629770049
100	1.70042880379	2.0103473762	3.37086975848	5.38979788258	5.27874435478	5.27874435478
110	6.92661170428	5.82346973284	7.06025562995	11.402146763	11.402146763	11.402146763
120	16.0424886191	15.2357259875	15.5477246491	17.6142562735	17.9395554479	17.9395554479
130	22.1670148495	21.4503386005	21.4330077353	22.7543899145	23.3380242049	23.2310723332
140	27.8918299291	27.597875885	27.0564348188	26.2017356961	27.0252048543	26.78664039
