xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	60.3929843742	60.3929843742	60.3929843742	60.3929843742	60.3929843742	60.3929843742
90	54.8495602584	54.8509885089	54.8942731859	55.0915141543	55.0915141543	55.0915141543
100	50.9673078201	50.9946751956	51.3596334341	53.1648912882	53.1648912882	53.1648912882
110	50.2274204563	50.1069152031	50.3867906188	52.9568876799	52.8456463021	52.8456463021
120	50.017002232	50.03390916	50.0657043832	53.2475900843	53.5732557938	53.5732557938
130	50.0	50.0121036069	50.0680291226	52.5638390533	52.9004038472	52.9004038472
140	50.0	50.0	50.0121036069	52.0924652651	53.2736791351	53.2736791351
