xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	99.7395833333	99.1334488735	99.1334488735	99.1334488735
100	96.7567567568	97.1428571429	96.9837587007	96.3762528913	96.4533538936	96.4533538936
110	87.9710144928	87.1739130435	89.7026831037	92.3741007194	92.3741007194	92.3741007194
120	72.8954081633	73.4862970045	74.4735162731	88.4882985452	88.5173501577	88.5173501577
130	66.8052256532	68.1899109792	68.2304038005	85.3701527615	85.2872215709	85.4044548652
140	61.9308831596	61.8630136986	65.076754386	82.9520697168	82.4647122693	82.7361563518
