xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	60.0189726631	60.0189726631	60.0189726631	60.0189726631	60.0189726631	60.0189726631
90	55.0350674589	55.0344653774	55.0315776507	55.1376657553	55.1376657553	55.1376657553
100	51.0407193138	51.085869306	51.1359105216	52.4028756226	52.4028756226	52.4028756226
110	50.0266853424	50.0316754431	50.0498108488	51.9053373206	51.9254141191	51.9254141191
120	50.0	50.0	50.0084559445	52.1149788119	52.1187310364	52.1187310364
130	50.0	50.0	50.0048319683	51.9811563952	52.1911338615	52.1911338615
140	50.0	50.0	50.0048319683	51.294062501	52.1714237707	52.1714237707
