xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0	0.106224771617	0.106224771617	0.106224771617
100	6.55579191646	6.65248501257	5.60928433269	2.80877260485	2.80877260485	2.80877260485
110	23.3293040926	23.5365221896	22.0994475138	7.57081545064	7.58798283262	7.58798283262
120	32.8372539606	32.501200192	31.2209953593	11.2523839797	11.3318499682	11.3318499682
130	38.7269482451	38.2864792503	37.4033313504	15.2267021119	14.4629930566	14.4629930566
140	41.8251470789	41.6472841702	40.779753762	20.8690914044	17.3032486068	17.3032486068
