xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	100.0	99.8484817875	99.8484817875	99.8484817875
100	97.5811295342	98.0525980526	97.5414907556	95.9343976145	95.9343976145	95.9343976145
110	89.7813788943	89.9902184545	89.9941304986	89.1548217978	89.1255149058	89.1255149058
120	81.9515707985	82.3473812131	82.2958395223	83.2689370114	83.2981478986	83.2981478986
130	75.6980626056	76.2770816746	76.1598658468	78.3326126679	78.1103900635	78.1103900635
140	70.7123400319	71.2176884732	70.9263780033	74.7265865681	73.6444643887	73.6444643887
