xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	0.0	0.0	0.0	0.0	0.0	0.0
90	0.0	0.0	0.0432525951557	0.259515570934	0.259515570934	0.259515570934
100	6.1232449298	6.76779463244	4.27184466019	3.64482357503	3.64482357503	3.64482357503
110	21.2469522814	21.3166144201	18.8239387613	8.10249307479	8.03324099723	8.03324099723
120	29.6211626388	28.5807504078	27.6762402089	11.2191958495	11.4785992218	11.4785992218
130	36.9635986978	35.7798165138	34.9911190053	14.2563801701	14.2605633803	14.2605633803
140	39.9435028249	39.1697260661	38.2768361582	16.5168539326	16.6852990497	16.6852990497
