xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	99.9567474048	99.7404844291	99.7404844291	99.7404844291
100	93.8767550702	93.2322053676	95.7281553398	96.355176425	96.355176425	96.355176425
110	78.7530477186	78.6833855799	81.1760612387	91.8975069252	91.9667590028	91.9667590028
120	70.3788373612	71.4192495922	72.3237597911	88.7808041505	88.5214007782	88.5214007782
130	63.0364013022	64.2201834862	65.0088809947	85.7436198299	85.7394366197	85.7394366197
140	60.0564971751	60.8302739339	61.7231638418	83.4831460674	83.3147009503	83.3147009503
