xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	61.7055206681	61.7074021533	61.7074325038	61.7081326464	61.7081326464	61.7081326464
90	55.9861885602	55.98934923	56.3919436186	56.7981611599	56.7981611599	56.7981611599
100	51.874460284	52.2035854266	53.1614977339	54.679389794	54.596146592	54.596146592
110	50.760230689	50.6081545129	51.1787658259	54.8851421583	54.8851421583	54.8851421583
120	50.1718528859	50.1679901123	50.2677697868	53.8932948959	54.0508897634	54.0508897634
130	50.1419649704	50.1659551815	50.1853200449	54.0332692215	54.5032048391	54.4227085647
140	50.0633408478	50.0243025177	50.2246669784	53.4280990968	54.0671068877	53.8437496891
