xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	0.0	0.0	0.0	0.0	0.0	0.0
90	0.534759358289	0.601604278075	0.736278447122	0.870147255689	0.870147255689	0.870147255689
100	3.97690827453	3.97690827453	3.78205128205	3.01282051282	2.88461538462	2.88461538462
110	10.822749862	10.9271523179	10.1216814159	7.27272727273	7.3197578426	7.3197578426
120	18.4375	18.6458333333	17.9073399271	11.6424116424	11.0187110187	11.0187110187
130	26.9011406844	25.4390128144	26.0332541568	14.9976269578	14.9550402272	14.9550402272
140	30.806954971	31.4005352364	29.1703835861	20.1859229748	18.689105403	17.7175843694
