xaxis	EDF	TSRA	G-VMPAC
80	60.580632716	60.580632716	60.580632716
90	55.8545524691	55.8545524691	55.8545524691
100	51.138117284	51.2249228395	51.0633680556
110	50.0144675926	50.1977237654	50.0
120	50.0	50.0192901235	50.0
130	50.0	50.0	50.0
140	50.0	50.0	50.0
