xaxis	EDF	TSRA	G-VMPAC
80	100.0	100.0	100.0
90	100.0	100.0	100.0
100	99.2026578073	99.5348837209	99.8265042451
110	92.9922728484	94.6617318529	93.9137390841
120	85.3634757175	88.7485123135	85.7299905335
130	80.410490968	83.9730096024	80.7095151357
140	73.5089098532	79.3568138999	75.6948814768
