xaxis	EDF	TSRA	G-VMPAC
80	100.0	100.0	100.0
90	100.0	100.0	100.0
100	99.6180290298	99.6180290298	99.3119266055
110	95.8999305073	95.7579972184	86.0222531293
120	89.1205211726	92.9082628497	74.5239658569
130	84.8801475108	88.7323943662	68.3559950556
140	78.3768444949	84.5413363533	64.0571428571
