xaxis	EDF	TSRA	G-VMPAC
80	100.0	100.0	100.0
90	100.0	100.0	100.0
100	99.4170229304	99.5724834823	98.600855033
110	94.4868238558	94.6509204585	79.9860286413
120	87.048289095	89.536	68.9945037181
130	83.2777946077	85.494106981	63.0275229358
140	74.3101545254	79.9449035813	58.9429763561
