xaxis	EDF	TSRA	G-VMPAC
80	0.0	0.0	0.0
90	0.0	0.0	0.0
100	0.582977069569	0.427516517684	1.39914496696
110	5.51317614424	5.34907954151	20.0139713587
120	12.951710905	10.464	31.0054962819
130	16.7222053923	14.505893019	36.9724770642
140	25.6898454746	20.0550964187	41.0570236439
