xaxis	EDF	TSRA	G-VMPAC
80	99.7088509317	100.0	100.0
90	97.1488542942	97.2712961343	98.9330068218
100	95.1057783391	94.7900221029	97.072249331
110	90.4004544164	89.3523131673	92.5773488504
120	86.7852604828	85.9140605136	90.3677312635
130	81.4419844674	81.8874019382	84.6136048126
140	76.5319569515	78.7892081597	80.8881578947
