xaxis	EDF	TSRA	G-VMPAC
80	100.0	100.0	100.0
90	100.0	100.0	100.0
100	99.3079212536	99.3954506315	99.5051457668
110	91.7118198631	93.4893596331	91.740589981
120	84.9791231733	87.8224712738	84.4821154104
130	78.3867121654	82.7203919905	79.1180907969
140	72.6380274723	78.3264711471	74.0528813215
