xaxis	EDF	TSRA	G-VMPAC
80	60.1851851852	60.1851851852	60.1851851852
90	58.5390946502	58.5390946502	58.5390946502
100	49.5884773663	49.5884773663	49.5884773663
110	52.1604938272	52.1604938272	52.1604938272
120	44.2386831276	43.9300411523	43.8271604938
130	31.1728395062	31.378600823	30.7613168724
140	38.5802469136	37.4485596708	37.037037037
