xaxis	EDF	TSRA	G-VMPAC
80	52.1122685185	52.1122685185	52.1122685185
90	45.4764660494	45.3993055556	45.3993055556
100	41.1747685185	41.6377314815	40.2295524691
110	39.8148148148	40.7793209877	38.6574074074
120	38.744212963	39.6508487654	37.9340277778
130	38.0401234568	38.2426697531	37.5482253086
140	37.6736111111	37.7700617284	37.5096450617
