xaxis	EDF	TSRA	G-VMPAC
80	99.8050682261	100.0	100.0
90	98.2142857143	98.2142857143	99.1071428571
100	97.1153846154	96.7948717949	97.92
110	93.7869822485	93.3333333333	93.1952662722
120	91.3375796178	91.3486005089	89.7828863346
130	86.5525672372	87.8048780488	84.1717791411
140	83.0469644903	85.9428571429	81.1926605505
