xaxis	EDF	TSRA	G-VMPAC
80	61.009837963	61.009837963	61.009837963
90	55.6423611111	55.6423611111	55.6423611111
100	51.4081790123	51.3069058642	51.1574074074
110	50.1929012346	50.2025462963	50.0
120	50.0771604938	50.0626929012	50.0
130	50.0144675926	50.0144675926	50.0
140	50.0	50.0	50.0
