xaxis	EDF	TSRA	G-VMPAC
80	52.0061728395	51.8004115226	51.8004115226
90	47.5051440329	47.5051440329	46.2962962963
100	43.1327160494	43.6471193416	41.7952674897
110	40.8693415638	42.6697530864	40.0720164609
120	37.7829218107	39.866255144	36.0082304527
130	37.3456790123	38.8888888889	36.0082304527
140	35.9310699588	36.4197530864	34.5679012346
