xaxis	EDF	TSRA	G-VMPAC
80	79.5867251096	79.5867251096	79.5867251096
90	73.5070575461	73.5070575461	73.5070575461
100	74.2660550459	74.2660550459	75.3724394786
110	66.298811545	66.298811545	66.837826273
120	67.4182638106	67.8316422398	67.869222097
130	74.0186294079	74.0851630073	74.4843646041
140	63.0305039788	64.3236074271	65.1100733823
