xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	98.1696516434	98.1696516434	98.4451879551	99.370202716	99.370202716	99.370202716
90	98.4615384615	98.1609195402	98.0371352785	98.0371352785	98.0371352785	98.0371352785
100	94.6890177033	94.6263512455	93.0753564155	91.6653611155	91.6653611155	91.6653611155
110	89.8218104063	90.0641482537	88.4390591589	86.9565217391	86.2295081967	86.2295081967
120	81.1764705882	81.516042439	82.0204603581	80.3685692347	81.0163850486	81.0163850486
130	79.5853457415	78.7960890564	79.0741615494	77.0146088596	77.3680490104	77.3680490104
140	72.5556021821	73.7515736467	74.129248846	74.196934705	72.8007558262	72.7902582406
