xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	100.0	100.0	100.0	100.0	100.0	100.0
90	100.0	100.0	99.9404312776	99.6386164171	99.6386164171	99.6386164171
100	97.4914359121	97.9072337695	97.2385743337	94.9898297827	94.9898297827	94.9898297827
110	88.3867864015	89.5936888689	88.7349243007	88.4547694474	88.6051646347	88.6051646347
120	82.3837609652	83.1517835767	83.1128800575	83.6020460052	83.1832730101	83.1832730101
130	75.076381052	75.9474857568	75.6650327697	78.9879531297	78.5504541837	78.5504541837
140	70.7373692585	71.3797689519	71.3302034429	76.2340940436	74.7849588108	74.7849588108
