xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	21.676541712	21.6843802383	21.6846416654	21.6879038554	21.6879038554	21.6879038554
90	9.32018908239	9.33102025239	10.1776435576	11.047962896	11.047962896	11.047962896
100	1.29720413058	1.78051597963	3.6133458104	6.67307470965	6.49408343793	6.49408343793
110	0.0	0.0	0.547598293825	6.96332670905	6.96332670905	6.96332670905
120	0.0	0.0	0.0	4.49433789143	4.72280296931	4.72280296931
130	0.0	0.0	0.0	4.25575799079	5.16100459776	4.99335148968
140	0.0	0.0	0.0	3.27837601827	4.49499786385	4.00013271131
