xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	80.8383233533	80.8383233533	80.8383233533	80.8383233533	80.8383233533	80.8383233533
90	83.9024390244	83.9024390244	83.9024390244	83.9024390244	83.9024390244	83.9024390244
100	80.4545454545	80.4545454545	80.4545454545	80.4545454545	80.0	80.0
110	79.0794979079	79.0794979079	79.0794979079	79.4979079498	79.4979079498	79.4979079498
120	76.9230769231	76.9230769231	77.3279352227	76.5182186235	76.9230769231	76.9230769231
130	82.9581993569	82.9581993569	83.2797427653	81.9935691318	80.38585209	80.0643086817
140	77.4834437086	77.4834437086	77.8145695364	77.8145695364	76.821192053	76.821192053
