xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	26.7049544877	26.7049544877	26.5249771572	25.4879209743	25.4879209743	25.4879209743
90	19.0295994014	19.3432194731	19.6839386993	19.6839386993	19.6839386993	19.6839386993
100	11.2956348592	11.372795353	13.5960014606	15.6407347214	15.6407347214	15.6407347214
110	7.04768351492	7.04539684961	9.83577252161	12.4336077233	13.4137128487	13.4137128487
120	7.01551714464	6.61067611349	7.98393866682	11.7476828978	11.0107067913	11.0107067913
130	2.8017077895	3.58188484443	3.63922264205	8.40940958036	7.71668229987	7.71668229987
140	0.813913035517	0.852410314158	0.977194596648	4.00735474842	5.39514091138	5.39433069655
