xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	34.2714196373	34.2714196373	34.2714196373	34.2714196373	34.2714196373	34.2714196373
90	31.8206972883	31.8206972883	31.8206972883	31.8206972883	31.8206972883	31.8206972883
100	35.9298928919	35.9298928919	35.9298928919	35.9298928919	36.4167478092	36.4167478092
110	36.7277375373	36.7277375373	36.7277375373	36.088623775	36.088623775	36.088623775
120	39.2040977147	39.2040977147	38.731284476	39.6375098503	39.2040977147	39.2040977147
130	31.0193024043	30.6467998645	30.6467998645	31.8658990857	33.6268201829	34.1009143244
140	37.4879227053	37.4557165862	37.037037037	36.8438003221	37.5845410628	37.5845410628
