xaxis	EDF	TSRA	k-EDF=20%	k-EDF=40%	k-EDF=60%	k-EDF=80%
80	100.0	100.0	100.0	100.0	100.0	100.0
90	99.3409490334	99.2405222194	99.0770969362	98.7004018081	98.7004018081	98.7004018081
100	96.2517848644	96.5135649691	96.2978394143	95.6014522945	95.7681090411	95.7681090411
110	90.7752387989	91.1358363215	91.107001321	89.4759087067	89.2958935923	89.2958935923
120	84.0956797657	84.349524042	84.7614862556	83.5797589421	83.174742595	83.174742595
130	78.0418081115	78.8076219376	78.7525671935	79.5964927977	77.7300970006	77.7300970006
140	73.1429528515	73.903940371	73.6956703794	75.2654016551	74.1955730365	74.2486395982
