xaxis	tsra	pure	k=10%	k=20%	k=30%	k=40%	k=50%	k=60%	k=70%	k=80%	k=90%	k=100%
80	26.3541585243	26.6251267047	27.1032975763	36.6922244592	46.0438735092	46.3143794093	46.3143794093	46.3143794093	46.3143794093	46.3143794093	46.3143794093	46.3143794093
85	24.578684841	23.4189438467	26.2707347121	35.4744331854	44.1840934884	44.3213127056	44.3213127056	44.3213127056	44.3213127056	44.3213127056	44.3213127056	44.3213127056
90	21.9510858924	21.1620869216	24.7263272843	32.9034766814	43.5584831238	44.4699711185	44.7562477333	44.7562477333	44.7562477333	44.7562477333	44.7562477333	44.7562477333
95	20.5510844447	18.2696730839	22.3045496092	28.5082547731	41.6861841219	43.2728377699	43.2728377699	43.2728377699	43.2728377699	43.2728377699	43.2728377699	43.2728377699
100	17.7525710993	17.5633858801	18.7460264726	26.4635139592	39.8614467767	41.5948498172	41.4605483207	41.4605483207	41.4605483207	41.4605483207	41.4605483207	41.4605483207
105	13.8753175756	12.6262899797	15.0276690786	18.6135614097	33.8685588295	37.0796914821	38.4884449432	38.4884449432	38.4884449432	38.4884449432	38.4884449432	38.4884449432
110	10.7855547168	10.2920056518	13.4336637955	15.7031774292	30.734415907	37.2790132159	37.3120592915	37.3120592915	37.3120592915	37.3120592915	37.3120592915	37.3120592915
115	11.9658499005	10.1318904687	12.0004844154	14.441559785	28.3171208352	36.7171124812	37.5410804577	37.5410804577	37.5410804577	37.5410804577	37.5410804577	37.5410804577
120	7.64243280673	7.48424870224	9.94045887632	12.2787639986	23.8046085183	31.9400654799	34.3392738581	34.3392738581	34.3392738581	34.3392738581	34.3392738581	34.3392738581
125	8.46999605639	8.47868715889	9.67756306856	12.7951269253	23.3949918269	31.758816879	33.7918535818	33.7918535818	33.7918535818	33.7918535818	33.7918535818	33.7918535818
130	5.11629081859	4.679808773	6.47269024389	8.05475021834	19.8520298304	24.567982373	29.0606774482	28.2778181842	28.2778181842	28.2778181842	28.2778181842	28.2778181842
135	4.27701630247	3.40528581309	5.87017377322	6.32232513693	14.5110223884	21.8458769457	25.9322481504	28.0231372458	28.2340170034	28.2340170034	28.2340170034	28.2340170034
140	2.69481382853	2.27365160483	4.44816807459	5.38873556737	14.1341062652	16.8385071323	26.51629061	27.6050009781	27.6050009781	27.6050009781	27.6050009781	27.6050009781
